     #Energy           s           p           d       tot  
   -13.11218     0.13339     0.02046    31.96948    32.12332
   -13.07318     0.14149     0.02084    31.96952    32.13186
   -13.03518     0.14980     0.02126    31.96957    32.14063
   -12.99618     0.15833     0.02169    31.96963    32.14965
   -12.95718     0.16708     0.02215    31.96968    32.15891
   -12.91918     0.17606     0.02263    31.96974    32.16843
   -12.88018     0.18527     0.02313    31.96981    32.17820
   -12.84118     0.19468     0.02366    31.96987    32.18821
   -12.80318     0.20427     0.02421    31.96995    32.19843
   -12.76418     0.21400     0.02480    31.97002    32.20882
   -12.72518     0.22390     0.02542    31.97010    32.21942
   -12.68718     0.23398     0.02607    31.97019    32.23024
   -12.64818     0.24426     0.02674    31.97028    32.24128
   -12.60918     0.25473     0.02745    31.97038    32.25256
   -12.57118     0.26540     0.02819    31.97048    32.26407
   -12.53218     0.27628     0.02895    31.97059    32.27582
   -12.49318     0.28737     0.02975    31.97071    32.28783
   -12.45518     0.29868     0.03058    31.97083    32.30009
   -12.41618     0.31023     0.03144    31.97095    32.31262
   -12.37718     0.32202     0.03233    31.97108    32.32543
   -12.33918     0.33406     0.03325    31.97122    32.33853
   -12.30018     0.34635     0.03420    31.97136    32.35192
   -12.26118     0.35890     0.03519    31.97151    32.36561
   -12.22318     0.37171     0.03621    31.97167    32.37959
   -12.18418     0.38476     0.03728    31.97184    32.39387
   -12.14518     0.39807     0.03838    31.97202    32.40848
   -12.10718     0.41167     0.03954    31.97220    32.42341
   -12.06818     0.42559     0.04073    31.97240    32.43872
   -12.02918     0.43986     0.04198    31.97261    32.45445
   -11.99118     0.45454     0.04327    31.97283    32.47064
   -11.95218     0.46966     0.04462    31.97306    32.48734
   -11.91318     0.48525     0.04603    31.97331    32.50458
   -11.87518     0.50135     0.04749    31.97357    32.52241
   -11.83618     0.51804     0.04901    31.97385    32.54091
   -11.79718     0.53559     0.05062    31.97415    32.56036
   -11.75918     0.55446     0.05234    31.97449    32.58128
   -11.72018     0.57460     0.05417    31.97485    32.60363
   -11.68118     0.59536     0.05607    31.97523    32.62667
   -11.64318     0.61608     0.05799    31.97562    32.64970
   -11.60418     0.63624     0.05990    31.97600    32.67213
   -11.56518     0.65689     0.06188    31.97639    32.69517
   -11.52718     0.67856     0.06399    31.97682    32.71938
   -11.48818     0.69982     0.06612    31.97725    32.74320
   -11.44918     0.72014     0.06821    31.97767    32.76602
   -11.41118     0.73974     0.07027    31.97807    32.78808
   -11.37218     0.75881     0.07232    31.97846    32.80959
   -11.33318     0.77752     0.07437    31.97886    32.83074
   -11.29518     0.79603     0.07642    31.97925    32.85171
   -11.25618     0.81435     0.07849    31.97964    32.87248
   -11.21718     0.83239     0.08055    31.98003    32.89297
   -11.17918     0.85011     0.08261    31.98042    32.91313
   -11.14018     0.86751     0.08466    31.98080    32.93297
   -11.10118     0.88458     0.08671    31.98118    32.95247
   -11.06318     0.90131     0.08875    31.98156    32.97162
   -11.02418     0.91770     0.09078    31.98193    32.99041
   -10.98518     0.93377     0.09280    31.98230    33.00887
   -10.94718     0.94946     0.09482    31.98266    33.02694
   -10.90818     0.96478     0.09683    31.98303    33.04464
   -10.86918     0.97990     0.09885    31.98339    33.06214
   -10.83118     0.99482     0.10086    31.98375    33.07943
   -10.79218     1.00951     0.10286    31.98411    33.09648
   -10.75318     1.02393     0.10486    31.98446    33.11325
   -10.71518     1.03807     0.10683    31.98482    33.12972
   -10.67618     1.05188     0.10880    31.98516    33.14584
   -10.63718     1.06535     0.11074    31.98551    33.16159
   -10.59918     1.07844     0.11266    31.98584    33.17695
   -10.56018     1.09120     0.11456    31.98617    33.19193
   -10.52118     1.10364     0.11644    31.98650    33.20658
   -10.48318     1.11581     0.11831    31.98682    33.22094
   -10.44418     1.12770     0.12016    31.98714    33.23499
   -10.40518     1.13919     0.12197    31.98745    33.24861
   -10.36718     1.15065     0.12382    31.98776    33.26223
