# E_raw(eV)  PDOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.933399999999999963e+01 4.644727670004000086e-05 -2.845588159000000061e+01 -3.280844230423112151e+01 -3.305947869820406027e+01 -2.392622594221459309e+01
-2.932100000000000151e+01 2.791099966681999975e-04 -2.844288159000000249e+01 -3.279544230423112339e+01 -3.304647869820406214e+01 -2.391322594221459497e+01
-2.930900000000000105e+01 1.479942205806000213e-03 -2.843088159000000203e+01 -3.278344230423112293e+01 -3.303447869820406169e+01 -2.390122594221459451e+01
-2.929599999999999937e+01 6.924056033860000355e-03 -2.841788159000000036e+01 -3.277044230423112481e+01 -3.302147869820406356e+01 -2.388822594221459639e+01
-2.928399999999999892e+01 2.858621524932000030e-02 -2.840588158999999990e+01 -3.275844230423112435e+01 -3.300947869820406311e+01 -2.387622594221459593e+01
-2.927100000000000080e+01 1.041596095991999954e-01 -2.839288159000000178e+01 -3.274544230423112623e+01 -3.299647869820406498e+01 -2.386322594221459781e+01
-2.925900000000000034e+01 3.348901955859999169e-01 -2.838088159000000132e+01 -3.273344230423112577e+01 -3.298447869820406453e+01 -2.385122594221459735e+01
-2.924599999999999866e+01 9.504959229400000709e-01 -2.836788158999999965e+01 -3.272044230423112054e+01 -3.297147869820405930e+01 -2.383822594221459212e+01
-2.923300000000000054e+01 2.382168485299999805e+00 -2.835488159000000152e+01 -3.270744230423112242e+01 -3.295847869820406117e+01 -2.382522594221459400e+01
-2.922100000000000009e+01 5.275320132399999196e+00 -2.834288159000000107e+01 -3.269544230423112197e+01 -3.294647869820406072e+01 -2.381322594221459354e+01
-2.920799999999999841e+01 1.033745536759999872e+01 -2.832988158999999939e+01 -3.268244230423112384e+01 -3.293347869820406260e+01 -2.380022594221459542e+01
-2.919600000000000151e+01 1.796349446960000051e+01 -2.831788159000000249e+01 -3.267044230423112339e+01 -3.292147869820406214e+01 -2.378822594221459497e+01
-2.918299999999999983e+01 2.779929625400000148e+01 -2.830488159000000081e+01 -3.265744230423112526e+01 -3.290847869820406402e+01 -2.377522594221459684e+01
-2.917099999999999937e+01 3.860357813599999588e+01 -2.829288159000000036e+01 -3.264544230423112481e+01 -3.289647869820406356e+01 -2.376322594221459639e+01
-2.915800000000000125e+01 4.877813268400000624e+01 -2.827988159000000223e+01 -3.263244230423112668e+01 -3.288347869820406544e+01 -2.375022594221459826e+01
-2.914600000000000080e+01 5.722290632400000021e+01 -2.826788159000000178e+01 -3.262044230423112623e+01 -3.287147869820406498e+01 -2.373822594221459781e+01
-2.913299999999999912e+01 6.419057661399999404e+01 -2.825488159000000010e+01 -3.260744230423112100e+01 -3.285847869820405975e+01 -2.372522594221459258e+01
-2.912000000000000099e+01 7.078817730600000857e+01 -2.824188159000000198e+01 -3.259444230423112288e+01 -3.284547869820406163e+01 -2.371222594221459445e+01
-2.910800000000000054e+01 7.776186452800001803e+01 -2.822988159000000152e+01 -3.258244230423112242e+01 -3.283347869820406117e+01 -2.370022594221459400e+01
-2.909499999999999886e+01 8.431465479999999957e+01 -2.821688158999999985e+01 -3.256944230423112430e+01 -3.282047869820406305e+01 -2.368722594221459588e+01
-2.908299999999999841e+01 8.808036514399998396e+01 -2.820488158999999939e+01 -3.255744230423112384e+01 -3.280847869820406260e+01 -2.367522594221459542e+01
-2.907000000000000028e+01 8.640418130800000540e+01 -2.819188159000000127e+01 -3.254444230423112572e+01 -3.279547869820406447e+01 -2.366222594221459730e+01
-2.905799999999999983e+01 7.805682941400000630e+01 -2.817988159000000081e+01 -3.253244230423112526e+01 -3.278347869820406402e+01 -2.365022594221459684e+01
-2.904500000000000171e+01 6.422800732600001083e+01 -2.816688159000000269e+01 -3.251944230423112714e+01 -3.277047869820406589e+01 -2.363722594221459872e+01
-2.903200000000000003e+01 4.798691890200000643e+01 -2.815388159000000101e+01 -3.250644230423112191e+01 -3.275747869820406066e+01 -2.362422594221459349e+01
-2.901999999999999957e+01 3.303485748399999977e+01 -2.814188159000000056e+01 -3.249444230423112145e+01 -3.274547869820406021e+01 -2.361222594221459303e+01
-2.900700000000000145e+01 2.244865713000000085e+01 -2.812888159000000243e+01 -3.248144230423112333e+01 -3.273247869820406208e+01 -2.359922594221459491e+01
-2.899500000000000099e+01 1.818394373999999658e+01 -2.811688159000000198e+01 -3.246944230423112288e+01 -3.272047869820406163e+01 -2.358722594221459445e+01
-2.898199999999999932e+01 2.109419532000000075e+01 -2.810388159000000030e+01 -3.245644230423112475e+01 -3.270747869820406351e+01 -2.357422594221459633e+01
-2.896999999999999886e+01 3.097356540000000180e+01 -2.809188158999999985e+01 -3.244444230423112430e+01 -3.269547869820406305e+01 -2.356222594221459588e+01
-2.895700000000000074e+01 4.615940247999999713e+01 -2.807888159000000172e+01 -3.243144230423112617e+01 -3.268247869820406493e+01 -2.354922594221459775e+01
-2.894399999999999906e+01 6.317008610000000601e+01 -2.806588159000000005e+01 -3.241844230423112094e+01 -3.266947869820405970e+01 -2.353622594221459252e+01
-2.893199999999999861e+01 7.714369159999998260e+01 -2.805388158999999959e+01 -3.240644230423112049e+01 -3.265747869820405924e+01 -2.352422594221459207e+01
-2.891900000000000048e+01 8.347070959999999218e+01 -2.804088159000000147e+01 -3.239344230423112236e+01 -3.264447869820406112e+01 -2.351122594221459394e+01
-2.890700000000000003e+01 7.990024880000001417e+01 -2.802888159000000101e+01 -3.238144230423112191e+01 -3.263247869820406066e+01 -2.349922594221459349e+01
-2.889399999999999835e+01 6.760189059999999017e+01 -2.801588158999999933e+01 -3.236844230423112379e+01 -3.261947869820406254e+01 -2.348622594221459536e+01
-2.888200000000000145e+01 5.055118801999999789e+01 -2.800388159000000243e+01 -3.235644230423112333e+01 -3.260747869820406208e+01 -2.347422594221459491e+01
-2.886899999999999977e+01 3.344278941999999688e+01 -2.799088159000000076e+01 -3.234344230423112521e+01 -3.259447869820406396e+01 -2.346122594221459678e+01
-2.885600000000000165e+01 1.957798468000000014e+01 -2.797788159000000263e+01 -3.233044230423112708e+01 -3.258147869820406584e+01 -2.344822594221459866e+01
-2.884400000000000119e+01 1.017193283999999842e+01 -2.796588159000000218e+01 -3.231844230423112663e+01 -3.256947869820406538e+01 -2.343622594221459821e+01
-2.883099999999999952e+01 4.740376239999999797e+00 -2.795288159000000050e+01 -3.230544230423112140e+01 -3.255647869820406015e+01 -2.342322594221459298e+01
-2.881899999999999906e+01 2.050282880000000141e+00 -2.794088159000000005e+01 -3.229344230423112094e+01 -3.254447869820405970e+01 -2.341122594221459252e+01
-2.880600000000000094e+01 9.129047200000000029e-01 -2.792788159000000192e+01 -3.228044230423112282e+01 -3.253147869820406157e+01 -2.339822594221459440e+01
-2.879400000000000048e+01 5.102720499999999770e-01 -2.791588159000000147e+01 -3.226844230423112236e+01 -3.251947869820406112e+01 -2.338622594221459394e+01
-2.878099999999999881e+01 3.986368700000000320e-01 -2.790288158999999979e+01 -3.225544230423112424e+01 -3.250647869820406299e+01 -2.337322594221459582e+01
-2.876800000000000068e+01 3.816639400000000348e-01 -2.788988159000000167e+01 -3.224244230423112612e+01 -3.249347869820406487e+01 -2.336022594221459769e+01
