    # Energy          Ge           H
   -26.87188     0.00000     0.00000
   -26.85988     0.00000     0.00000
   -26.84688     0.00000     0.00000
   -26.83488     0.00000     0.00000
   -26.82188     0.00000     0.00000
   -26.80988     0.00000     0.00000
   -26.79688     0.00000     0.00000
   -26.78388     0.00000     0.00000
   -26.77188     0.00000     0.00000
   -26.75888     0.00000     0.00000
   -26.74688     0.00000     0.00000
   -26.73388     0.00000     0.00000
   -26.72188     0.00000     0.00000
   -26.70888     0.00000     0.00000
   -26.69588     0.00000     0.00000
   -26.68388     0.00000     0.00000
   -26.67088     0.00000     0.00000
   -26.65888     0.00000     0.00000
   -26.64588     0.00000     0.00000
   -26.63388     0.00000     0.00000
   -26.62088     0.00000     0.00000
   -26.60788     0.00000     0.00000
   -26.59588     0.00000     0.00000
   -26.58288     0.00000     0.00000
   -26.57088     0.00000     0.00000
   -26.55788     0.00000     0.00000
   -26.54588     0.00000     0.00000
   -26.53288     0.00000     0.00000
   -26.51988     0.00000     0.00000
   -26.50788     0.00000     0.00000
   -26.49488     0.00000     0.00000
   -26.48288     0.00000     0.00000
   -26.46988     0.00000     0.00000
   -26.45788     0.00000     0.00000
   -26.44488     0.00000     0.00000
   -26.43188     0.00000     0.00000
   -26.41988     0.00000     0.00000
   -26.40688     0.00000     0.00000
   -26.39488     0.00000     0.00000
   -26.38188     0.00000     0.00000
   -26.36988     0.00000     0.00000
   -26.35688     0.00000     0.00000
   -26.34388     0.00000     0.00000
   -26.33188     0.00000     0.00000
   -26.31888     0.00000     0.00000
   -26.30688     0.00000     0.00000
   -26.29388     0.00000     0.00000
   -26.28188     0.00000     0.00000
   -26.26888     0.00000     0.00000
   -26.25588     0.00000     0.00000
   -26.24388     0.00000     0.00000
   -26.23088     0.00000     0.00000
   -26.21888     0.00000     0.00000
   -26.20588     0.00000     0.00000
   -26.19388     0.00000     0.00000
   -26.18088     0.00000     0.00000
   -26.16888     0.00000     0.00000
   -26.15588     0.00000     0.00000
   -26.14288     0.00000     0.00000
   -26.13088     0.00000     0.00000
   -26.11788     0.00000     0.00000
   -26.10588     0.00000     0.00000
   -26.09288     0.00000     0.00000
   -26.08088     0.00000     0.00000
   -26.06788     0.00000     0.00000
   -26.05488     0.00000     0.00000
   -26.04288     0.00000     0.00000
   -26.02988     0.00000     0.00000
   -26.01788     0.00000     0.00000
   -26.00488     0.00000     0.00000
   -25.99288     0.00000     0.00000
   -25.97988     0.00000     0.00000
   -25.96688     0.00000     0.00000
   -25.95488     0.00000     0.00000
   -25.94188     0.00000     0.00000
   -25.92988     0.00000     0.00000
   -25.91688     0.00000     0.00000
   -25.90488     0.00000     0.00000
   -25.89188     0.00000     0.00000
   -25.87888     0.00000     0.00000
   -25.86688     0.00000     0.00000
   -25.85388     0.00000     0.00000
   -25.84188     0.00000     0.00000
   -25.82888     0.00000     0.00000
   -25.81688     0.00000     0.00000
   -25.80388     0.00000     0.00000
   -25.79088     0.00000     0.00000
   -25.77888     0.00000     0.00000
   -25.76588     0.00000     0.00000
   -25.75388     0.00000     0.00000
   -25.74088     0.00000     0.00000
   -25.72888     0.00000     0.00000
   -25.71588     0.00000     0.00000
   -25.70288     0.00000     0.00000
   -25.69088     0.00000     0.00000
   -25.67788     0.00000     0.00000
   -25.66588     0.00000     0.00000
   -25.65288     0.00000     0.00000
   -25.64088     0.00000     0.00000
   -25.62788     0.00000     0.00000
   -25.61488     0.00000     0.00000
   -25.60288     0.00000     0.00000
   -25.58988     0.00000     0.00000
   -25.57788     0.00000     0.00000
   -25.56488     0.00000     0.00000
   -25.55288     0.00000     0.00000
   -25.53988     0.00000     0.00000
   -25.52688     0.00000     0.00000
   -25.51488     0.00000     0.00000
   -25.50188     0.00000     0.00000
   -25.48988     0.00000     0.00000
   -25.47688     0.00000     0.00000
   -25.46488     0.00000     0.00000
   -25.45188     0.00000     0.00000
   -25.43988     0.00000     0.00000
   -25.42688     0.00000     0.00000
   -25.41388     0.00000     0.00000
   -25.40188     0.00000     0.00000
   -25.38888     0.00000     0.00000
   -25.37688     0.00000     0.00000
   -25.36388     0.00000     0.00000
   -25.35188     0.00000     0.00000
   -25.33888     0.00000     0.00000
   -25.32588     0.00000     0.00000
   -25.31388     0.00000     0.00000
   -25.30088     0.00000     0.00000
   -25.28888     0.00000     0.00000
   -25.27588     0.00000     0.00000
   -25.26388     0.00000     0.00000
   -25.25088     0.00000     0.00000
   -25.23788     0.00000     0.00000
   -25.22588     0.00000     0.00000
   -25.21288     0.00000     0.00000
   -25.20088     0.00000     0.00000
   -25.18788     0.00000     0.00000
   -25.17588     0.00000     0.00000
   -25.16288     0.00000     0.00000
   -25.14988     0.00000     0.00000
   -25.13788     0.00000     0.00000
   -25.12488     0.00000     0.00000
   -25.11288     0.00000     0.00000
   -25.09988     0.00000     0.00000
   -25.08788     0.00000     0.00000
   -25.07488     0.00000     0.00000
   -25.06188     0.00000     0.00000
   -25.04988     0.00000     0.00000
   -25.03688     0.00000     0.00000
   -25.02488     0.00000     0.00000
   -25.01188     0.00000     0.00000
   -24.99988     0.00000     0.00000
   -24.98688     0.00000     0.00000
   -24.97388     0.00000     0.00000
   -24.96188     0.00000     0.00000
   -24.94888     0.00000     0.00000
   -24.93688     0.00000     0.00000
   -24.92388     0.00000     0.00000
   -24.91188     0.00000     0.00000
   -24.89888     0.00000     0.00000
   -24.88588     0.00000     0.00000
   -24.87388     0.00000     0.00000
   -24.86088     0.00000     0.00000
   -24.84888     0.00000     0.00000
   -24.83588     0.00000     0.00000
   -24.82388     0.00000     0.00000
   -24.81088     0.00000     0.00000
   -24.79788     0.00000     0.00000
   -24.78588     0.00000     0.00000
   -24.77288     0.00000     0.00000
   -24.76088     0.00000     0.00000
   -24.74788     0.00000     0.00000
   -24.73588     0.00000     0.00000
   -24.72288     0.00000     0.00000
   -24.71088     0.00000     0.00000
   -24.69788     0.00000     0.00000
   -24.68488     0.00000     0.00000
   -24.67288     0.00000     0.00000
   -24.65988     0.00000     0.00000
   -24.64788     0.00000     0.00000
   -24.63488     0.00000     0.00000
   -24.62288     0.00000     0.00000
   -24.60988     0.00000     0.00000
   -24.59688     0.00000     0.00000
   -24.58488     0.00000     0.00000
   -24.57188     0.00000     0.00000
   -24.55988     0.00000     0.00000
   -24.54688     0.00000     0.00000
   -24.53488     0.00000     0.00000
   -24.52188     0.00000     0.00000
   -24.50888     0.00000     0.00000
   -24.49688     0.00000     0.00000
   -24.48388     0.00000     0.00000
   -24.47188     0.00000     0.00000
   -24.45888     0.00000     0.00000
   -24.44688     0.00000     0.00000
   -24.43388     0.00000     0.00000
   -24.42088     0.00000     0.00000
   -24.40888     0.00000     0.00000
   -24.39588     0.00000     0.00000
   -24.38388     0.00000     0.00000
   -24.37088     0.00000     0.00000
   -24.35888     0.00000     0.00000
   -24.34588     0.00000     0.00000
   -24.33288     0.00000     0.00000
   -24.32088     0.00000     0.00000
   -24.30788     0.00000     0.00000
   -24.29588     0.00000     0.00000
   -24.28288     0.00000     0.00000
   -24.27088     0.00000     0.00000
   -24.25788     0.00000     0.00000
   -24.24488     0.00000     0.00000
   -24.23288     0.00000     0.00000
   -24.21988     0.00000     0.00000
   -24.20788     0.00000     0.00000
   -24.19488     0.00000     0.00000
   -24.18288     0.00000     0.00000
   -24.16988     0.00000     0.00000
   -24.15688     0.00000     0.00000
   -24.14488     0.00000     0.00000
   -24.13188     0.00000     0.00000
   -24.11988     0.00000     0.00000
   -24.10688     0.00000     0.00000
   -24.09488     0.00000     0.00000
   -24.08188     0.00000     0.00000
   -24.06988     0.00000     0.00000
   -24.05688     0.00000     0.00000
   -24.04388     0.00000     0.00000
   -24.03188     0.00000     0.00000
   -24.01888     0.00000     0.00000
   -24.00688     0.00000     0.00000
   -23.99388     0.00000     0.00000
   -23.98188     0.00000     0.00000
   -23.96888     0.00000     0.00000
   -23.95588     0.00000     0.00000
   -23.94388     0.00000     0.00000
   -23.93088     0.00000     0.00000
   -23.91888     0.00000     0.00000
   -23.90588     0.00000     0.00000
   -23.89388     0.00000     0.00000
   -23.88088     0.00000     0.00000
   -23.86788     0.00000     0.00000
   -23.85588     0.00000     0.00000
   -23.84288     0.00000     0.00000
   -23.83088     0.00000     0.00000
   -23.81788     0.00000     0.00000
   -23.80588     0.00000     0.00000
   -23.79288     0.00000     0.00000
   -23.77988     0.00000     0.00000
   -23.76788     0.00000     0.00000
   -23.75488     0.00000     0.00000
   -23.74288     0.00000     0.00000
   -23.72988     0.00000     0.00000
   -23.71788     0.00000     0.00000
   -23.70488     0.00000     0.00000
   -23.69188     0.00000     0.00000
   -23.67988     0.00000     0.00000
   -23.66688     0.00000     0.00000
   -23.65488     0.00000     0.00000
   -23.64188     0.00000     0.00000
   -23.62988     0.00000     0.00000
   -23.61688     0.00000     0.00000
   -23.60388     0.00000     0.00000
   -23.59188     0.00000     0.00000
   -23.57888     0.00000     0.00000
   -23.56688     0.00000     0.00000
   -23.55388     0.00000     0.00000
   -23.54188     0.00000     0.00000
   -23.52888     0.00000     0.00000
   -23.51588     0.00000     0.00000
   -23.50388     0.00000     0.00000
   -23.49088     0.00000     0.00000
   -23.47888     0.00000     0.00000
   -23.46588     0.00000     0.00000
   -23.45388     0.00000     0.00000
   -23.44088     0.00000     0.00000
   -23.42788     0.00000     0.00000
   -23.41588     0.00000     0.00000
   -23.40288     0.00000     0.00000
   -23.39088     0.00000     0.00000
   -23.37788     0.00000     0.00000
