     #Energy      1&3_px
   -13.29093     0.00000
   -13.27993     0.00000
   -13.26893     0.00000
   -13.25793     0.00000
   -13.24693     0.00000
   -13.23493     0.00000
   -13.22393     0.00000
   -13.21293     0.00000
   -13.20193     0.00000
   -13.19093     0.00000
   -13.17993     0.00000
   -13.16793     0.00000
