    # Energy          Ge           H
   -23.78159     0.00000     0.00000
   -23.76959     0.00000     0.00000
   -23.75659     0.00000     0.00000
   -23.74359     0.00000     0.00000
   -23.73159     0.00000     0.00000
   -23.71859     0.00000     0.00000
   -23.70659     0.00000     0.00000
   -23.69359     0.00000     0.00000
   -23.68159     0.00000     0.00000
   -23.66859     0.00000     0.00000
   -23.65559     0.00000     0.00000
   -23.64359     0.00000     0.00000
   -23.63059     0.00000     0.00000
   -23.61859     0.00000     0.00000
   -23.60559     0.00000     0.00000
   -23.59259     0.00000     0.00000
   -23.58059     0.00000     0.00000
   -23.56759     0.00000     0.00000
   -23.55559     0.00000     0.00000
   -23.54259     0.00000     0.00000
   -23.53059     0.00000     0.00000
   -23.51759     0.00000     0.00000
   -23.50459     0.00000     0.00000
   -23.49259     0.00000     0.00000
   -23.47959     0.00000     0.00000
   -23.46759     0.00000     0.00000
   -23.45459     0.00000     0.00000
   -23.44159     0.00000     0.00000
   -23.42959     0.00000     0.00000
   -23.41659     0.00000     0.00000
   -23.40459     0.00000     0.00000
   -23.39159     0.00000     0.00000
   -23.37959     0.00000     0.00000
   -23.36659     0.00000     0.00000
   -23.35359     0.00000     0.00000
   -23.34159     0.00000     0.00000
   -23.32859     0.00000     0.00000
   -23.31659     0.00000     0.00000
   -23.30359     0.00000     0.00000
   -23.29059     0.00000     0.00000
   -23.27859     0.00000     0.00000
   -23.26559     0.00000     0.00000
   -23.25359     0.00000     0.00000
   -23.24059     0.00000     0.00000
   -23.22859     0.00000     0.00000
   -23.21559     0.00000     0.00000
   -23.20259     0.00000     0.00000
   -23.19059     0.00000     0.00000
   -23.17759     0.00000     0.00000
   -23.16559     0.00000     0.00000
   -23.15259     0.00000     0.00000
   -23.14059     0.00000     0.00000
   -23.12759     0.00000     0.00000
   -23.11459     0.00000     0.00000
   -23.10259     0.00000     0.00000
   -23.08959     0.00000     0.00000
   -23.07759     0.00000     0.00000
   -23.06459     0.00000     0.00000
   -23.05159     0.00000     0.00000
   -23.03959     0.00000     0.00000
   -23.02659     0.00000     0.00000
   -23.01459     0.00000     0.00000
   -23.00159     0.00000     0.00000
   -22.98959     0.00000     0.00000
   -22.97659     0.00000     0.00000
   -22.96359     0.00000     0.00000
   -22.95159     0.00000     0.00000
   -22.93859     0.00000     0.00000
   -22.92659     0.00000     0.00000
   -22.91359     0.00000     0.00000
   -22.90059     0.00000     0.00000
   -22.88859     0.00000     0.00000
   -22.87559     0.00000     0.00000
   -22.86359     0.00000     0.00000
   -22.85059     0.00000     0.00000
   -22.83859     0.00000     0.00000
   -22.82559     0.00000     0.00000
   -22.81259     0.00000     0.00000
   -22.80059     0.00000     0.00000
   -22.78759     0.00000     0.00000
   -22.77559     0.00000     0.00000
   -22.76259     0.00000     0.00000
   -22.74959     0.00000     0.00000
   -22.73759     0.00000     0.00000
   -22.72459     0.00000     0.00000
