# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.906700000000000017e+01 0.000000000000000000e+00 -2.853759340999999949e+01 -3.398133997477950885e+01 -3.322845695176216907e+01 -2.410886819937089598e+01
-2.905399999999999849e+01 0.000000000000000000e+00 -2.852459340999999782e+01 -3.396833997477950362e+01 -3.321545695176216384e+01 -2.409586819937089430e+01
-2.904200000000000159e+01 0.000000000000000000e+00 -2.851259341000000092e+01 -3.395633997477951027e+01 -3.320345695176217049e+01 -2.408386819937089740e+01
-2.902899999999999991e+01 0.000000000000000000e+00 -2.849959340999999924e+01 -3.394333997477950504e+01 -3.319045695176216526e+01 -2.407086819937089572e+01
-2.901699999999999946e+01 0.000000000000000000e+00 -2.848759340999999878e+01 -3.393133997477950459e+01 -3.317845695176216481e+01 -2.405886819937089527e+01
-2.900400000000000134e+01 0.000000000000000000e+00 -2.847459341000000066e+01 -3.391833997477950646e+01 -3.316545695176216668e+01 -2.404586819937089714e+01
-2.899200000000000088e+01 0.000000000000000000e+00 -2.846259341000000020e+01 -3.390633997477950601e+01 -3.315345695176216623e+01 -2.403386819937089669e+01
-2.897899999999999920e+01 0.000000000000000000e+00 -2.844959340999999853e+01 -3.389333997477950788e+01 -3.314045695176216810e+01 -2.402086819937089501e+01
-2.896600000000000108e+01 0.000000000000000000e+00 -2.843659341000000040e+01 -3.388033997477950976e+01 -3.312745695176216998e+01 -2.400786819937089689e+01
-2.895400000000000063e+01 0.000000000000000000e+00 -2.842459340999999995e+01 -3.386833997477950930e+01 -3.311545695176216952e+01 -2.399586819937089643e+01
-2.894099999999999895e+01 0.000000000000000000e+00 -2.841159340999999827e+01 -3.385533997477950408e+01 -3.310245695176216429e+01 -2.398286819937089476e+01
-2.892899999999999849e+01 0.000000000000000000e+00 -2.839959340999999782e+01 -3.384333997477950362e+01 -3.309045695176216384e+01 -2.397086819937089430e+01
-2.891600000000000037e+01 0.000000000000000000e+00 -2.838659340999999969e+01 -3.383033997477950550e+01 -3.307745695176216572e+01 -2.395786819937089618e+01
-2.890399999999999991e+01 0.000000000000000000e+00 -2.837459340999999924e+01 -3.381833997477950504e+01 -3.306545695176216526e+01 -2.394586819937089572e+01
-2.889099999999999824e+01 0.000000000000000000e+00 -2.836159340999999756e+01 -3.380533997477950692e+01 -3.305245695176216714e+01 -2.393286819937089405e+01
-2.887800000000000011e+01 0.000000000000000000e+00 -2.834859340999999944e+01 -3.379233997477950879e+01 -3.303945695176216901e+01 -2.391986819937089592e+01
-2.886599999999999966e+01 0.000000000000000000e+00 -2.833659340999999898e+01 -3.378033997477950834e+01 -3.302745695176216856e+01 -2.390786819937089547e+01
-2.885300000000000153e+01 0.000000000000000000e+00 -2.832359341000000086e+01 -3.376733997477951021e+01 -3.301445695176217043e+01 -2.389486819937089734e+01
-2.884100000000000108e+01 0.000000000000000000e+00 -2.831159341000000040e+01 -3.375533997477950976e+01 -3.300245695176216998e+01 -2.388286819937089689e+01
-2.882799999999999940e+01 0.000000000000000000e+00 -2.829859340999999873e+01 -3.374233997477950453e+01 -3.298945695176216475e+01 -2.386986819937089521e+01
-2.881500000000000128e+01 0.000000000000000000e+00 -2.828559341000000060e+01 -3.372933997477950641e+01 -3.297645695176216663e+01 -2.385686819937089709e+01
-2.880300000000000082e+01 0.000000000000000000e+00 -2.827359341000000015e+01 -3.371733997477950595e+01 -3.296445695176216617e+01 -2.384486819937089663e+01
-2.878999999999999915e+01 0.000000000000000000e+00 -2.826059340999999847e+01 -3.370433997477950783e+01 -3.295145695176216805e+01 -2.383186819937089496e+01
